Generating words and printing non-borderless words only...
WORD                            BORDERLESS SUBWORD              PERIOD
15 YYTPECRYIXKFIPY              14 YYTPECRYIXKFIP               14
17 JMYWTZBCWVCZMGWIJ            16 JMYWTZBCWVCZMGWI             16
14 PVCLFGQSIPYYFP               13 PVCLFGQSIPYYF                13
19 ASKXFEMQPFRKYCOELCA          18 ASKXFEMQPFRKYCOELC           18
20 FRSEEEOXUYTRLERIHJZF         19 FRSEEEOXUYTRLERIHJZ          19
25 NFLTTIMGXFEAHCLHOSTWZUGDN    24 NFLTTIMGXFEAHCLHOSTWZUGD     24
18 EWDZMEUPESTKBCIWYE           17 EWDZMEUPESTKBCIWY            17
26 HQDPSEXOESFTIRVCOIWUTRBKWH   25 HQDPSEXOESFTIRVCOIWUTRBKW    25
15 PQPTQKKGSVBVUKP              14 PQPTQKKGSVBVUK               14
25 VIHKXIDEZPTKRRNXEJBDVPCPV    24 VIHKXIDEZPTKRRNXEJBDVPCP     24
14 AJZYUXRWUHSGPA               13 AJZYUXRWUHSGP                13
15 WIUOMSWJXGKQDCW              14 WIUOMSWJXGKQDC               14
26 VIXTEYPMUZNBUUVCVOTUXIRFZV   25 VIXTEYPMUZNBUUVCVOTUXIRFZ    25
21 MDYGQYGNGQOZAFDCDCKNM        20 MDYGQYGNGQOZAFDCDCKN         20
19 CCHGKJFEQAQZFEBJSEC          18 CCHGKJFEQAQZFEBJSE           18
16 AULTZHNDWRDMLNGA             15 AULTZHNDWRDMLNG              15
22 JECPWZAAGSYMVPHXODEEAJ       21 JECPWZAAGSYMVPHXODEEA        21
27 AYMUPHERKPOQGPYYASXHBPMWXPA  26 AYMUPHERKPOQGPYYASXHBPMWXP   26
27 XNJENUCGOQMYAGAVPGQGLEJMLOX  26 XNJENUCGOQMYAGAVPGQGLEJMLO   26
18 GAZYBXIPWKUUKSJJJG           17 GAZYBXIPWKUUKSJJJ            17
22 YKAUUJUIFAONNYXPGCQTIY       21 YKAUUJUIFAONNYXPGCQTI        21
25 HZZIYZFBUZGMLHOOORIJPFDBH    24 HZZIYZFBUZGMLHOOORIJPFDB     24
28 CZZDHJSQXNIPNRCYCTFESJGYYMVC 27 CZZDHJSQXNIPNRCYCTFESJGYYMV  27
17 UYVDIKZGTZQICKPWU            16 UYVDIKZGTZQICKPW             16
15 QISTJHUWIWMPVAQ              14 QISTJHUWIWMPVA               14
16 DTYNBVLQRVCTQYPD             15 DTYNBVLQRVCTQYP              15
23 WKTBFMLMKPDJUWLNACQIRVW      22 WKTBFMLMKPDJUWLNACQIRV       22
28 CHWJISAOJLTARIECDVTLOWIRHGMC 27 CHWJISAOJLTARIECDVTLOWIRHGM  27
17 SKWQTQZZOJYTAPZES            16 SKWQTQZZOJYTAPZE             16
22 MLGCETQPCZITPYKORFGZFM       21 MLGCETQPCZITPYKORFGZF        21
27 JZEOEAPZEFBJIUBEPDVCFXDTQSJ  26 JZEOEAPZEFBJIUBEPDVCFXDTQS   26
16 FPIYZZMRQQGVTFWF             15 FPIYZZMRQQGVTFW              15
15 QLVWIFHZXOAILEQ              14 QLVWIFHZXOAILE               14
18 YVAUXGDGJXGDDNHGKY           17 YVAUXGDGJXGDDNHGK            17
24 FXNEWEGZDDCGYYAFZHPAMQRF     23 FXNEWEGZDDCGYYAFZHPAMQR      23
15 OFGJAEPWHXWLKWO              14 OFGJAEPWHXWLKW               14
18 WNRWZDFCOUOMIWVKMW           17 WNRWZDFCOUOMIWVKM            17
25 DVGUVLHHRPWGTPAUTSOMEAYBD    24 DVGUVLHHRPWGTPAUTSOMEAYB     24
15 DODORFXVHBHGAJD              14 DODORFXVHBHGAJ               14
17 OENAGBNBXDNAZLAKO            16 OENAGBNBXDNAZLAK             16
26 ZCUEDDDDYNJAHGZMSPNCXNNBIZ   25 ZCUEDDDDYNJAHGZMSPNCXNNBI    25
15 YGBXNGUEPCBCGGY              14 YGBXNGUEPCBCGG               14
27 OPGGFWSSJFTWYSLMIFZJBQXLUAO  26 OPGGFWSSJFTWYSLMIFZJBQXLUA   26
14 EKDDNVOHBYLCXE               13 EKDDNVOHBYLCX                13
18 LFNHIFHTKLTVUFEVPL           17 LFNHIFHTKLTVUFEVP            17
28 UTXJANRJCUOSKPHKCDJWSUGSOJMU 27 UTXJANRJCUOSKPHKCDJWSUGSOJM  27
23 FOCHMHLQLNHPAIYCGKLRRNF      22 FOCHMHLQLNHPAIYCGKLRRN       22
21 INJRVVIEAPMPAMGKRZVUI        20 INJRVVIEAPMPAMGKRZVU         20
20 NYFVFIQWBANMRLPHZCJN         19 NYFVFIQWBANMRLPHZCJ          19
14 HXEEOQQRYJEDBH               13 HXEEOQQRYJEDB                13
Total generated words count: 1095 selected non-borderless word count: 50 (0.05)
