ALPHABET	LENGTH	SUM	MAXBORDERLESS_PREFIX	TIME
2	220	63000000	13136884702	208.5219793968	405.55472707748413
2	230	127000000	27734844756	218.3846043780	819.1351709365845
2	234	126000000	28015305047	222.3436908492	823.922816991806
2	231	165000000	36197121578	219.3764944121	1052.0780670642853
2	235	185000000	41317060233	223.3354607189	1188.075203180313
2	229	194000000	42176630470	217.4053117010	1202.5118670463562
2	222	203000000	42729617643	210.4907273054	1221.6127960681915
2	221	229000000	47976514351	209.5044294803	1383.713306903839
2	242	61000000	14045005261	230.2459878852	368.68844509124756
2	237	127000000	28614533299	225.3112858189	782.5895969867706
2	223	297000000	62808458881	211.4762925286	1772.1315529346466
2	240	107000000	24424822624	228.2693703178	653.3992421627045
2	238	181000000	40959834627	226.2974288785	1097.1645200252533
2	236	252000000	56527610439	224.3159144405	1542.868731021881
2	227	371000000	79924842892	215.4308433747	2227.0780079364777
2	228	57000000	12335340438	216.4094813684	2436.891039133072
2	239	230000000	52275190335	227.2834362391	1387.9118659496307
2	243	179000000	41391575249	231.2378505531	1114.7080750465393
2	245	166000000	38712852300	233.2099536145	1050.8498270511627
2	241	248000000	56856877103	229.2616012218	1527.9547929763794
2	224	407000000	86473267446	212.4650305799	2860.6502220630646
2	226	161000000	34524429373	214.4374495217	2860.654783010483
2	225	481000000	102671536308	213.4543374387	2860.6569650173187
2	246	197000000	46137322108	234.1996046091	1231.8952980041504
2	233	65000000	14388452087	221.3608013385	3339.033131122589
2	232	542000000	119438531137	220.3662936107	3339.0350890159607
2	251	158000000	37784956001	239.1452911456	1080.9748740196228
2	248	241000000	56919751120	236.1815399170	1609.0968980789185
2	256	99000000	24165270292	244.0936393131	715.5998179912567
2	247	287000000	67498949470	235.1879772474	1896.2239708900452
2	258	140000000	34449902871	246.0707347929	1036.991576910019
2	255	177000000	43028160859	243.0969540056	1272.2285888195038
2	250	269000000	64064390064	238.1575838810	1830.244817018509
2	253	226000000	54493381391	241.1211565973	1591.3420221805573
2	261	114000000	28390765030	249.0417985088	868.8803019523621
2	264	83000000	20916092813	252.0011182289	648.4669868946075
2	270	42000000	10833550722	257.9416838571	331.011766910553
2	244	464000000	107751489652	232.2230380431	3106.1495912075043
2	252	324000000	77804154320	240.1362787654	2306.4618530273438
2	265	130000000	32889035393	252.9925799462	1012.4420177936554
2	254	301000000	72876231567	242.1137261362	2184.458724975586
2	266	124000000	31493856427	253.9827131210	959.2877249717712
2	249	443000000	105065361152	237.1678581309	3061.0993609428406
2	260	236000000	58539089382	248.0469889068	1805.680960893631
2	259	291000000	71894130396	247.0588673402	2173.110801935196
