ALPHABET	LENGTH	SUM	MAXBORDERLESS_SUBWORD	TIME
2	47	26000000	1176821903	45.2623808846	51.6110999584198
2	49	30000000	1417867183	47.2622394333	63.3139009475708
2	40	8000000	306095717	38.2619646250	76.11378812789917
2	48	22000000	1017765192	46.2620541818	122.8766450881958
2	46	68000000	3009870598	44.2628029118	133.80105209350586
2	42	85000000	3422287907	40.2622106706	147.21595096588135
2	41	57000000	2237964373	39.2625328596	147.21961092948914
2	25	74000000	1721573754	23.2645101892	153.1395139694214
2	39	45000000	1676777293	37.2617176222	153.13930201530457
2	37	106000000	3737423688	35.2587140377	153.13982486724854
2	38	76000000	2755826320	36.2608726316	153.14410495758057
2	43	54000000	2228188623	41.2627522778	164.93442392349243
2	44	93000000	3930421643	42.2625983118	164.93214893341064
2	45	75000000	3244730172	43.2630689600	164.92809391021729
2	62	10000000	602636181	60.2636181000	24.621361017227173
2	56	25000000	1356566745	54.2626698000	55.84666180610657
2	66	7000000	449843603	64.2633718571	19.607269048690796
2	51	40000000	1970505343	49.2626335750	206.60855412483215
2	50	103000000	4971045904	48.2625815922	206.6093180179596
2	54	66000000	3449331559	52.2625993788	135.02187204360962
2	52	80000000	4021031474	50.2628934250	167.1293408870697
2	53	78000000	3998480230	51.2625670513	158.8338179588318
2	58	40000000	2250511129	56.2627782250	97.71904492378235
2	60	36000000	2097467468	58.2629852222	92.0382628440857
2	63	31000000	1899142214	61.2626520645	83.96722412109375
2	59	48000000	2748618639	57.2628883125	121.64583086967468
2	65	41000000	2593783190	63.2630046341	114.8837480545044
2	71	26000000	1800836181	69.2629300385	81.20711207389832
2	57	60000000	3315766808	55.2627801333	146.38540601730347
2	67	36000000	2349455004	65.2626390000	105.17811608314514
2	55	74000000	3941454876	53.2629037297	172.2025020122528
2	68	40000000	2650514243	66.2628560750	119.17437696456909
2	75	29000000	2124621355	73.2628053448	94.87414693832397
2	74	35000000	2529198247	72.2628070571	113.17428398132324
2	61	80000000	4741021698	59.2627712250	214.57703399658203
2	77	44000000	3311572326	75.2630074091	148.65684008598328
2	73	67000000	4774630833	71.2631467612	213.18554997444153
2	80	42000000	3287043805	78.2629477381	146.104887008667
2	78	52000000	3965694413	76.2633540962	177.27980303764343
2	72	76000000	5340008298	70.2632670789	239.5417730808258
2	84	35000000	2879208495	82.2630998571	127.97817301750183
2	64	112000000	6973464523	62.2630760982	314.3706600666046
2	70	90000000	6143698083	68.2633120333	276.17930698394775
2	76	72000000	5346920851	74.2627895972	238.56218791007996
2	86	32000000	2696403197	84.2625999063	119.81321501731873
2	82	60000000	4815778465	80.2629744167	213.563716173172
2	69	100000000	6726267928	67.2626792800	302.7372610569
2	88	22000000	1897776155	86.2625525000	83.98213195800781
2	81	71000000	5627668565	79.2629375352	247.5192470550537
2	92	32000000	2888417141	90.2630356562	126.97045707702637
2	95	27000000	2518112773	93.2634360370	110.94270896911621
2	93	36000000	3285448535	91.2624593056	142.35386109352112
2	97	28000000	2667351830	95.2625653571	115.04516100883484
2	83	89000000	7232402638	81.2629509888	316.6148328781128
2	91	50000000	4463140721	89.2628144200	190.26637887954712
2	89	58000000	5061255121	87.2630193276	213.4519340991974
2	79	108000000	8344384551	77.2628199167	362.5355260372162
2	94	53000000	4889942172	92.2630598491	202.71796989440918
2	87	77000000	6565243071	85.2628970260	264.5226562023163
2	99	47000000	4571362304	97.2630277447	176.95042896270752
2	100	43000000	4225308861	98.2629967674	157.8533320426941
2	89	58000000	5061255121	87.2630193276	192.27963399887085
2	96	67000000	6315614258	94.2628993731	237.62086081504822
2	85	119000000	9908274726	83.2628128235	393.2162199020386
2	90	95000000	8384969087	88.2628324947	312.3945379257202
