2 2
2 3 6
2 4 16
2 5 36
2 6 82
2 7 176
2 8 372
2 9 768
2 10 1582
2 11 3224
2 12 6534
2 13 13166
2 14 26504
2 15 53244
2 16 106824
2 17 214060
2 18 428764
2 19 858400
2 20 1718056
2 21 3437734
2 22 6877896
2 23 13759154
2 24 27523128
2 25 55052582
2 26 110114618
2 27 220242288
3 2 3
3 3 12
3 4 45
3 5 144
3 6 465
3 7 1434
3 8 4395
3 9 13296
3 10 40185
3 11 120930
3 12 363603
3 13 1091784
3 14 3277803
3 15 9836580
3 16 29516793
3 17 88559244
3 18 265698711
4 2 4
4 3 20
4 4 96
4 5 400
4 6 1676
4 7 6792
4 8 27448
4 9 110120
4 10 441636
4 11 1767952
4 12 7076108
4 13 28309548
4 14 113255464
5 2 5
5 3 30
5 4 175
5 5 900
5 6 4645
5 7 23390
5 8 117615
5 9 588840
5 10 2947585
5 11 14741930
5 12 73725675
5 13 368647100
